text,actual,predicted,confidence,correct
need assistance to report problems with online payments,payment_issue,payment_issue,1.0,True
I'm trying to see in what cases can i ask for my money back,check_refund_policy,check_refund_policy,1.0,True
i need assistance to check the allowed payment options,check_payment_methods,check_payment_methods,1.0,True
edit ordr {{Order Number}},change_order,change_order,1.0,True
were do i receive bloody compensations of my money,get_refund,get_refund,1.0,True
I am trying to check what delivery methods you offer,delivery_options,delivery_options,1.0,True
I try to lodge a consumer claim against your organization,complaint,complaint,1.0,True
help seeing in what situations can I request to be refunded,check_refund_policy,check_refund_policy,1.0,True
"I cannot sign up, assistance reporting fucking signup issues",registration_problems,registration_problems,1.0,True
would it be possible to ask for compensations of my money?,get_refund,get_refund,1.0,True
I need assistance to give a quick look at the bill #37777,check_invoice,check_invoice,1.0,True
where to leave a review for ur products,review,review,1.0,True
I don't know how I could speak to a human agent,contact_human_agent,contact_human_agent,1.0,True
rebating  {{Refund Amount}} dollars,get_refund,get_refund,1.0,True
I don't know what to do to download the invoice #85632,get_invoice,get_invoice,1.0,True
I want assistance to download my bill #85632,get_invoice,get_invoice,1.0,True
I don't know what I need to do to change to the {{Account Type}} account,switch_account,switch_account,1.0,True
I want help to get my bill from {{Person Name}},get_invoice,get_invoice,1.0,True
send me bills from {{Person Name}},get_invoice,get_invoice,1.0,True
how long does it take for a shipment to arrive,delivery_period,delivery_period,1.0,True
I'm trying to report a problem with online payment,payment_issue,payment_issue,1.0,True
i dont know what i have to do to speak to an assistant,contact_human_agent,contact_human_agent,1.0,True
assistance checking your allowed payment modalities,check_payment_methods,check_payment_methods,1.0,True
i need help notifying of registration issues,registration_problems,registration_problems,1.0,True
"I have paid {{Currency Symbol}}{{Refund Amount}} for an item, help to receive my money back",get_refund,get_refund,1.0,True
i do not know what to do to get my invoice #12588,get_invoice,get_invoice,1.0,True
where can i see how long the shipping takes,delivery_period,delivery_period,1.0,True
"I have got to see your payment modalities, I need help",check_payment_methods,check_payment_methods,1.0,True
how can I demand reimbursements of my money?,get_refund,get_refund,1.0,True
where do i check ur goddamn money bafk guarantee,check_refund_policy,check_refund_policy,1.0,True
creating new {{Account Category}} account,create_account,create_account,1.0,True
"I have to get the goddamn bill from {{Person Name}}, help me",get_invoice,get_invoice,1.0,True
is there an address to leave my feedback for a service,review,review,1.0,True
where is order {{Order Number}}?,track_order,track_order,1.0,True
can I check in which situations can I request refunds?,check_refund_policy,check_refund_policy,1.0,True
"I cannot make a payment, how could I report bloody problems?",payment_issue,payment_issue,1.0,True
i do not know what i need to do to get my invoice #85632,get_invoice,get_invoice,1.0,True
"I have to sign up to your corporate newsletter, help me",newsletter_subscription,newsletter_subscription,1.0,True
I don't know what I need to do to modify my delivery address,change_shipping_address,change_shipping_address,1.0,True
where to notify of problems with online payments?,payment_issue,payment_issue,1.0,True
canm you help me to update purchase {{Order Number}}?,change_order,change_order,1.0,True
i need help trying to change the address,change_shipping_address,change_shipping_address,1.0,True
i have to check at what time i can contact custome support,contact_customer_service,contact_customer_service,1.0,True
I don't know how I can shop several articles,place_order,place_order,1.0,True
"I would like to list the payment methods, how to do it?",check_payment_methods,check_payment_methods,1.0,True
purchase {{Order Number}} current status,track_order,track_order,1.0,True
could you help me modify the bloody data on my profile?,edit_account,edit_account,1.0,True
needc help checking the withdrawal fees,check_cancellation_fee,check_cancellation_fee,1.0,True
help me to retrieve my PIN code,recover_password,recover_password,1.0,True
