text,actual,predicted,confidence
need assistance to report problems with online payments,payment_issue,payment_issue,0.9956002094115483
I'm trying to see in what cases can i ask for my money back,check_refund_policy,check_refund_policy,0.9941796294390891
i need assistance to check the allowed payment options,check_payment_methods,check_payment_methods,0.9958700416054121
edit ordr {{Order Number}},change_order,change_order,0.995089436336151
were do i receive bloody compensations of my money,get_refund,get_refund,0.9946872487357451
I am trying to check what delivery methods you offer,delivery_options,delivery_options,0.9948011081634783
I try to lodge a consumer claim against your organization,complaint,complaint,0.9956208949943202
help seeing in what situations can I request to be refunded,check_refund_policy,check_refund_policy,0.9953347803178811
"I cannot sign up, assistance reporting fucking signup issues",registration_problems,registration_problems,0.993678827845364
would it be possible to ask for compensations of my money?,get_refund,get_refund,0.9939700590308488
I need assistance to give a quick look at the bill #37777,check_invoice,check_invoice,0.9943887241307966
where to leave a review for ur products,review,review,0.9961474754039227
I don't know how I could speak to a human agent,contact_human_agent,contact_human_agent,0.9900254009720779
rebating  {{Refund Amount}} dollars,get_refund,get_refund,0.9947417255598934
I don't know what to do to download the invoice #85632,get_invoice,get_invoice,0.9939582445661467
I want assistance to download my bill #85632,get_invoice,get_invoice,0.9948060260719132
I don't know what I need to do to change to the {{Account Type}} account,switch_account,switch_account,0.9944946863572506
I want help to get my bill from {{Person Name}},get_invoice,get_invoice,0.9953639646561121
send me bills from {{Person Name}},get_invoice,get_invoice,0.99372436915058
how long does it take for a shipment to arrive,delivery_period,delivery_period,0.9946487071591621
I'm trying to report a problem with online payment,payment_issue,payment_issue,0.9956591963765019
i dont know what i have to do to speak to an assistant,contact_human_agent,contact_human_agent,0.9903472097380344
assistance checking your allowed payment modalities,check_payment_methods,check_payment_methods,0.995200483144074
i need help notifying of registration issues,registration_problems,registration_problems,0.9948547054112313
"I have paid {{Currency Symbol}}{{Refund Amount}} for an item, help to receive my money back",get_refund,get_refund,0.9958742227737285
i do not know what to do to get my invoice #12588,get_invoice,get_invoice,0.9928166256391044
where can i see how long the shipping takes,delivery_period,delivery_period,0.9945311196490317
"I have got to see your payment modalities, I need help",check_payment_methods,check_payment_methods,0.9941389895777138
how can I demand reimbursements of my money?,get_refund,get_refund,0.99575931762891
where do i check ur goddamn money bafk guarantee,check_refund_policy,check_refund_policy,0.9876979025933256
creating new {{Account Category}} account,create_account,create_account,0.9967530131889859
"I have to get the goddamn bill from {{Person Name}}, help me",get_invoice,get_invoice,0.9915600658566713
is there an address to leave my feedback for a service,review,review,0.9966423169669953
where is order {{Order Number}}?,track_order,track_order,0.8960656745289018
can I check in which situations can I request refunds?,check_refund_policy,check_refund_policy,0.9957570858548533
"I cannot make a payment, how could I report bloody problems?",payment_issue,payment_issue,0.9887964718835964
i do not know what i need to do to get my invoice #85632,get_invoice,get_invoice,0.9915089755398191
"I have to sign up to your corporate newsletter, help me",newsletter_subscription,newsletter_subscription,0.995144510736575
I don't know what I need to do to modify my delivery address,change_shipping_address,change_shipping_address,0.9943490607446789
where to notify of problems with online payments?,payment_issue,payment_issue,0.9967177175371461
canm you help me to update purchase {{Order Number}}?,change_order,change_order,0.9921186469050812
i need help trying to change the address,change_shipping_address,change_shipping_address,0.9887294986169111
i have to check at what time i can contact custome support,contact_customer_service,contact_customer_service,0.99295927012163
I don't know how I can shop several articles,place_order,place_order,0.9916876760761119
"I would like to list the payment methods, how to do it?",check_payment_methods,check_payment_methods,0.9910883972113972
purchase {{Order Number}} current status,track_order,track_order,0.9945413251749788
could you help me modify the bloody data on my profile?,edit_account,edit_account,0.986383595914715
needc help checking the withdrawal fees,check_cancellation_fee,check_cancellation_fee,0.9933386831705256
help me to retrieve my PIN code,recover_password,recover_password,0.9962258435774626
errors setting up a different shipping address,set_up_shipping_address,set_up_shipping_address,0.9959407561404673
I want assistance updating the shipping address,change_shipping_address,change_shipping_address,0.9954222651297183
can you help me cancelling the {{Account Category}} account?,delete_account,delete_account,0.988400347056604
could you help me see the withdrawal charges?,check_cancellation_fee,check_cancellation_fee,0.9934725147973492
error setting up a damn new shipping address,set_up_shipping_address,set_up_shipping_address,0.9958520976471021
I try to check how long reimbursements usually take,check_refund_policy,check_refund_policy,0.9946703868936222
consumer claim against your business,complaint,complaint,0.9948229298608856
can you help me listing your accepted payment modalities?,check_payment_methods,check_payment_methods,0.9950900136012898
help me seeing the early exit fee,check_cancellation_fee,check_cancellation_fee,0.9939943797364532
how can I report a sign-up error?,registration_problems,registration_problems,0.9948397651434823
help to lodge a claim against your organization,complaint,complaint,0.995537635827135
can you help me purchasing a damn item?,place_order,place_order,0.9894764421331326
wanna see how soon can i expect the package how to do it,delivery_period,delivery_period,0.9933764200019767
help checking the status of the refund,track_refund,track_refund,0.986842769988247
can ya give me information about a forgotten access key,recover_password,recover_password,0.9929099671760162
open a {{Account Type}} account,create_account,create_account,0.9949577714470411
how can I see what shipping methods are there?,delivery_options,delivery_options,0.9952893531500534
getbills from {{Person Name}},get_invoice,get_invoice,0.9886777604400224
i need assistance to track the restitution,track_refund,track_refund,0.993011429154933
help me to see the ETA of the purchase {{Order Number}},track_order,track_order,0.9968930838867706
i have  a trouble setting up the shipping address,set_up_shipping_address,set_up_shipping_address,0.9955075067990947
I don't  know how I can find the invoices from {{Person Name}},check_invoice,check_invoice,0.9896756770588656
I need assistance to switch to the {{Account Type}} account,switch_account,switch_account,0.995597076373679
can you help me receiving rebates of money?,get_refund,get_refund,0.9952599546929646
need assistance to notify of errors with a registration,registration_problems,registration_problems,0.9948422433280433
can you help me cancel purchase {{Order Number}}?,cancel_order,cancel_order,0.9940550904179309
I don't know how to check the compensation status,track_refund,track_refund,0.9936047661698786
I want assistance to change to the {{Account Type}} account,switch_account,switch_account,0.9963852169489386
i need help to notify of payment errors,payment_issue,payment_issue,0.9959166288414388
help me restoring my account key,recover_password,recover_password,0.9946105772159611
get bills from {{Person Name}},get_invoice,get_invoice,0.9910249832459622
question about canceling order {{Order Number}},cancel_order,cancel_order,0.9950721120926754
where  do i lodge a consumer claim against ur company,complaint,complaint,0.9955987275424952
modifying info on premium account,edit_account,edit_account,0.9962282342670451
assistance seeing what hours I can contact customer service,contact_customer_service,contact_customer_service,0.9947559200074257
is it possible to notify of a registration problem?,registration_problems,registration_problems,0.9937919587949825
needhelp submitting some feedback,review,review,0.9890018958994653
i need information about the termination of my {{Account Type}} account,delete_account,delete_account,0.9958800190807174
I need assistance to check how soon can I expect my package,delivery_period,delivery_period,0.9947720922361155
i dont know what to do to talk to an assistant,contact_human_agent,contact_human_agent,0.9902708973433191
i call to get my invoice from {{Person Name}},get_invoice,get_invoice,0.995816074845523
need assistance acquiring several articles,place_order,place_order,0.992398716632587
wanna know about delivery periods give me some informtion,delivery_period,delivery_period,0.9912876182062015
I need help seeing the ETA of the purchase {{Order Number}},track_order,track_order,0.9966176743736582
help sending feedback for your company,review,review,0.9953784816197248
I need to earn several articles,place_order,place_order,0.9940547316523324
where can i order somedthing,place_order,place_order,0.9927783974817986
can uhelp me cancelling purchase {{Order Number}},cancel_order,cancel_order,0.9937966966034687
i want assistance setting the new shipping dadress up,set_up_shipping_address,set_up_shipping_address,0.9944600772191321
i dont know what to do to notify of sign-up issues,registration_problems,registration_problems,0.992765535047473
i do not know how to see the cancellation penalty,check_cancellation_fee,check_cancellation_fee,0.993548120712027
"I have got to submit a new shipping address, I need help",set_up_shipping_address,set_up_shipping_address,0.9959402245491367
where do I see when my item is going to arrive?,delivery_period,delivery_period,0.9938703669943832
how can i leave my feedback for ur company,review,review,0.9959072413730287
can you help me to see the compensation current status?,track_refund,track_refund,0.9924510524896103
"I have to change an item of purchase {{Order Number}}, help me",change_order,change_order,0.9954551138009556
"I want to see the status of my rebate, help me",track_refund,track_refund,0.9937068983428174
"I have got to see your refund policy, I need assistance",check_refund_policy,check_refund_policy,0.9928317812525757
problem with {{Account Category}} account removals,delete_account,delete_account,0.9955177382117107
information about canceling the newsletter subscription,newsletter_subscription,newsletter_subscription,0.9959495298583736
report a goddamn problem with payment,payment_issue,payment_issue,0.9940322399388265
"I want to submit my feedback for your products, help me",review,review,0.9960726323773081
I have got to unsubscribe to the company newsletter,newsletter_subscription,newsletter_subscription,0.9961344534412245
I do not know how to close a standard account,delete_account,delete_account,0.9944634150188745
can you help me enter the secondary shipping address ?,set_up_shipping_address,set_up_shipping_address,0.9969436015917187
"I never make use of my {{Account Type}} account, assistance deleting it",delete_account,delete_account,0.9954637930597814
I have to notify of issues with a signup,registration_problems,registration_problems,0.9952642758960443
